id,name,description,category,address,suburb,state,postcode,latitude,longitude,phone,email,website,hours,eligibility,cost,source_id,source_name,source_organisation,source_jurisdiction,source_license,source_url,source_date,quality,location_precision
vic_neighbourhood_houses_0054,Hawthorn Community House,Neighbourhood house,community,32 Henry Street,Hawthorn,VIC,3124,-37.84087,145.06819,,,,,,Free,vic_neighbourhood_houses,Neighbourhood Houses (GFYL),VIC Planning and Community Development,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/neighbourhood-houses-gfyl,2026-04-19,partial,postcode
vic_neighbourhood_houses_0055,Healesville Living & Learning Centre,Neighbourhood house,community,1 Badger Creek Road,Healesville,VIC,3777,-37.60609,145.51380,,,,,,Free,vic_neighbourhood_houses,Neighbourhood Houses (GFYL),VIC Planning and Community Development,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/neighbourhood-houses-gfyl,2026-04-19,partial,postcode
vic_neighbourhood_houses_0056,Holden Street Neighbourhood House,Neighbourhood house,community,128 Holden Street,Fitzroy North,VIC,3068,-37.79097,144.98622,,,,,,Free,vic_neighbourhood_houses,Neighbourhood Houses (GFYL),VIC Planning and Community Development,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/neighbourhood-houses-gfyl,2026-04-19,partial,postcode
vic_neighbourhood_houses_0057,Horsham Community House,Neighbourhood house,community,4 Pearl Street,Horsham,VIC,3400,-36.72525,142.20373,,,,,,Free,vic_neighbourhood_houses,Neighbourhood Houses (GFYL),VIC Planning and Community Development,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/neighbourhood-houses-gfyl,2026-04-19,partial,postcode
vic_neighbourhood_houses_0058,Japara Neighbourhood House,Neighbourhood house,community,13 Leith Road,Montrose,VIC,3765,-37.81477,145.34662,,,,,,Free,vic_neighbourhood_houses,Neighbourhood Houses (GFYL),VIC Planning and Community Development,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/neighbourhood-houses-gfyl,2026-04-19,partial,postcode
vic_neighbourhood_houses_0059,Jika Jika Community Centre,Neighbourhood house,community,Corner Union & Plant Streets,Northcote,VIC,3070,-37.77406,144.99974,,,,,,Free,vic_neighbourhood_houses,Neighbourhood Houses (GFYL),VIC Planning and Community Development,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/neighbourhood-houses-gfyl,2026-04-19,partial,postcode
vic_neighbourhood_houses_0060,Karingal Neighbourhood House,Neighbourhood house,community,88 Karingal Drive,Frankston,VIC,3199,-38.16258,145.13596,,,,,,Free,vic_neighbourhood_houses,Neighbourhood Houses (GFYL),VIC Planning and Community Development,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/neighbourhood-houses-gfyl,2026-04-19,partial,postcode
vic_neighbourhood_houses_0061,Kensington Neighbourhood House,Neighbourhood house,community,89 McCracken Street,Kensington,VIC,3031,-37.79119,144.92340,,,,,,Free,vic_neighbourhood_houses,Neighbourhood Houses (GFYL),VIC Planning and Community Development,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/neighbourhood-houses-gfyl,2026-04-19,partial,postcode
vic_neighbourhood_houses_0062,Kerrie Neighbourhood House,Neighbourhood house,community,36 Kincumber Drive,Glen Waverley,VIC,3150,-37.88944,145.17017,,,,,,Free,vic_neighbourhood_houses,Neighbourhood Houses (GFYL),VIC Planning and Community Development,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/neighbourhood-houses-gfyl,2026-04-19,partial,postcode
vic_neighbourhood_houses_0063,Keysborough Living Learning Centre,Neighbourhood house,community,402 Corrigan Road,Keysborough,VIC,3173,-38.00677,145.16486,,,,,,Free,vic_neighbourhood_houses,Neighbourhood Houses (GFYL),VIC Planning and Community Development,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/neighbourhood-houses-gfyl,2026-04-19,partial,postcode
