id,name,description,category,address,suburb,state,postcode,latitude,longitude,phone,email,website,hours,eligibility,cost,source_id,source_name,source_organisation,source_jurisdiction,source_license,source_url,source_date,quality
vic_ballarat_early_learning_0038,Sebastopol South Kindergarten,Early learning centre,education,187 Spencer Street,Sebastopol South,VIC,,-37.6025643,143.838786,,,https://ecka.org.au/,,,Free,vic_ballarat_early_learning,Early Learning Centres,City of Ballarat,VIC,CC-BY-3.0-AU,https://discover.data.vic.gov.au/dataset/early-learning-centres,2026-04-19,complete
vic_ballarat_early_learning_0039,Wendouree Children's Centre,Early learning centre,education,Corner of Gillies Street North and Hastings Street,Wendouree,VIC,,-37.5316076,143.8240041,,,https://www.ballarat.vic.gov.au/me/families/child-care-centres,,,Free,vic_ballarat_early_learning,Early Learning Centres,City of Ballarat,VIC,CC-BY-3.0-AU,https://discover.data.vic.gov.au/dataset/early-learning-centres,2026-04-19,complete
vic_ballarat_early_learning_0040,Yuille Park Kindergarten,Early learning centre,education,39 Violet Grove,Wendouree,VIC,,-37.5271777,143.8203652,,,https://yuilleparkcc.vic.edu.au/childrens-centre,,,Free,vic_ballarat_early_learning,Early Learning Centres,City of Ballarat,VIC,CC-BY-3.0-AU,https://discover.data.vic.gov.au/dataset/early-learning-centres,2026-04-19,complete
vic_ballarat_early_learning_0041,Y Learn & Swim Kindergarten,Early learning centre,education,40 Water Street,Brown Hill,VIC,,-37.555226,143.897924,,,https://ylearnandswim.org.au/kinder,,,Free,vic_ballarat_early_learning,Early Learning Centres,City of Ballarat,VIC,CC-BY-3.0-AU,https://discover.data.vic.gov.au/dataset/early-learning-centres,2026-04-19,complete
vic_ballarat_early_learning_0042,Aurrum Kids,Early learning centre,education,21-53 Learmonth Road,Wendouree,VIC,,-37.534607,143.817021,,,https://aurrumkids.com.au/our-centres/child-care-ballarat,,,Free,vic_ballarat_early_learning,Early Learning Centres,City of Ballarat,VIC,CC-BY-3.0-AU,https://discover.data.vic.gov.au/dataset/early-learning-centres,2026-04-19,complete
vic_ballarat_early_learning_0043,Journey Early Learning Centre- Ballarat East,Early learning centre,education,200B Victoria Street,Ballarat East,VIC,,-37.552006,143.812439,,,https://journey.edu.au/centre/ballarat-east,,,Free,vic_ballarat_early_learning,Early Learning Centres,City of Ballarat,VIC,CC-BY-3.0-AU,https://discover.data.vic.gov.au/dataset/early-learning-centres,2026-04-19,complete
vic_ballarat_early_learning_0044,Journey Early Learning Centre- Delacombe,Early learning centre,education,330 Glenelg Highway,Winter Valley,VIC,,-37.589871,143.80436,,,https://journey.edu.au/centre/delacombe,,,Free,vic_ballarat_early_learning,Early Learning Centres,City of Ballarat,VIC,CC-BY-3.0-AU,https://discover.data.vic.gov.au/dataset/early-learning-centres,2026-04-19,complete
vic_ballarat_early_learning_0045,Journey Early Learning - Lucas Rise,Early learning centre,education,36 Harris Drive,Lucas,VIC,,-37.5457748,143.7828152,,,https://journey.edu.au/centre/lucas-rise,,,Free,vic_ballarat_early_learning,Early Learning Centres,City of Ballarat,VIC,CC-BY-3.0-AU,https://discover.data.vic.gov.au/dataset/early-learning-centres,2026-04-19,complete
vic_ballarat_early_learning_0046,Brady Bunch Early Learning Centre- Delacombe,Early learning centre,education,1 Reynold's Parade,Smythes Creek,VIC,,-37.5952813632334,143.805097597113,,,https://www.bradybunchelc.com.au/,,,Free,vic_ballarat_early_learning,Early Learning Centres,City of Ballarat,VIC,CC-BY-3.0-AU,https://discover.data.vic.gov.au/dataset/early-learning-centres,2026-04-19,complete
vic_ballarat_early_learning_0047,Community Kids Haven ELC,Early learning centre,education,704 Skipton Street,Redan,VIC,,-37.5750709362467,143.842104015901,,,https://communitykidshaven.com.au/,,,Free,vic_ballarat_early_learning,Early Learning Centres,City of Ballarat,VIC,CC-BY-3.0-AU,https://discover.data.vic.gov.au/dataset/early-learning-centres,2026-04-19,complete
