id,name,description,category,address,suburb,state,postcode,latitude,longitude,phone,email,website,hours,eligibility,cost,source_id,source_name,source_organisation,source_jurisdiction,source_license,source_url,source_date,quality
vic_ballarat_food_0011,Harvest Ministry of Food,Community food activity,other,"Cnr Mair St and Dawson St, Ballarat",,VIC,,-37.559339,143.85349,,,,,,Free,vic_ballarat_food,Ballarat Community Food Activities,City of Ballarat,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/ballarat-community-food-activities,2026-04-17,partial
vic_ballarat_food_0012,Karinya Neighbourhood Garden,Community food activity,other,"6 Crompton Street, Soldiers Hill",,VIC,,-37.549902,143.854955,,,,,,Free,vic_ballarat_food,Ballarat Community Food Activities,City of Ballarat,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/ballarat-community-food-activities,2026-04-17,partial
vic_ballarat_food_0013,Learmonth Community Garden,Community food activity,other,"212-218 High St, Learmonth",,VIC,,-37.424882,143.720777,,,,,,Free,vic_ballarat_food,Ballarat Community Food Activities,City of Ballarat,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/ballarat-community-food-activities,2026-04-17,partial
vic_ballarat_food_0014,LinkUp Ballarat Secondary College,Community food activity,other,"36 Camp St, Ballarat",,VIC,,-37.560602,143.859588,,,,,,Free,vic_ballarat_food,Ballarat Community Food Activities,City of Ballarat,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/ballarat-community-food-activities,2026-04-17,partial
vic_ballarat_food_0015,LinkUp Young Parents Program,Community food activity,other,"102 Leawarra Crescent, Delacombe",,VIC,,-37.584473,143.823434,,,,,,Free,vic_ballarat_food,Ballarat Community Food Activities,City of Ballarat,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/ballarat-community-food-activities,2026-04-17,partial
vic_ballarat_food_0016,Phoenix College Breakfast Club,Community food activity,other,"Phoenix P-12 Community College, Hertford Street, Sebastopol",,VIC,,-37.585098,143.835528,,,,,,Free,vic_ballarat_food,Ballarat Community Food Activities,City of Ballarat,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/ballarat-community-food-activities,2026-04-17,partial
vic_ballarat_food_0017,Phoenix P-12 Community College Garden,Community food activity,other,"Phoenix P-12 Community College, Hertford Street, Sebastopol",,VIC,,-37.585094,143.835571,,,,,,Free,vic_ballarat_food,Ballarat Community Food Activities,City of Ballarat,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/ballarat-community-food-activities,2026-04-17,partial
vic_ballarat_food_0018,Soup Bus Dinner Program,Community food activity,other,"300-304 Mair Street, Ballarat",,VIC,,-37.559049,143.855975,,,,,,Free,vic_ballarat_food,Ballarat Community Food Activities,City of Ballarat,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/ballarat-community-food-activities,2026-04-17,partial
vic_ballarat_food_0019,"Stephanie Alexander Kitchen Program, Delacombe PS",Community food activity,education,"Delcombe PS, 110-120 Greenhalghs Road, Delacombe",,VIC,,-37.584959,143.818048,,,,,,Free,vic_ballarat_food,Ballarat Community Food Activities,City of Ballarat,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/ballarat-community-food-activities,2026-04-17,partial
vic_ballarat_food_0020,"Stephanie Alexander Kitchen Program, Sebastopol PS",Community food activity,education,"Sebastopol PS, Warreen Street, Sebastopol",,VIC,,-37.595693,143.844926,,,,,,Free,vic_ballarat_food,Ballarat Community Food Activities,City of Ballarat,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/ballarat-community-food-activities,2026-04-17,partial
vic_ballarat_food_0021,"Stephanie Alexander Kitchen Program, Wendouree PS",Community food activity,education,"Wendouree PS, 1224 Howitt St, Wendouree",,VIC,,-37.538704,143.828467,,,,,,Free,vic_ballarat_food,Ballarat Community Food Activities,City of Ballarat,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/ballarat-community-food-activities,2026-04-17,partial
vic_ballarat_food_0022,"Stephanie Alexander Kitchen Program, Yuille Park PS",Community food activity,education,"Yuille Park PS, Violet Grove, Wendouree",,VIC,,-37.528923,143.820688,,,,,,Free,vic_ballarat_food,Ballarat Community Food Activities,City of Ballarat,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/ballarat-community-food-activities,2026-04-17,partial
vic_ballarat_food_0023,Wendouree Neighbourhood Centre Community Garden,Community food activity,other,"Wendouree Neighbourhood Centre, 12 ? 14 Violet Grove, Wendoureee",,VIC,,-37.529207,143.82105,,,,,,Free,vic_ballarat_food,Ballarat Community Food Activities,City of Ballarat,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/ballarat-community-food-activities,2026-04-17,partial
vic_ballarat_food_0024,YMCA Delacombe Community Garden,Community food activity,other,"16 Nandiriog Drive, Delacombe",,VIC,,-37.582665,143.817984,,,,,,Free,vic_ballarat_food,Ballarat Community Food Activities,City of Ballarat,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/ballarat-community-food-activities,2026-04-17,partial
vic_ballarat_food_0025,Student Breakfast and Lunch Program,Community food activity,other,"Mt Clear College, Olympic Ave, Mt Clear",,VIC,,-37.607564,143.875838,,,,,,Free,vic_ballarat_food,Ballarat Community Food Activities,City of Ballarat,VIC,CC-BY-3.0-AU,https://data.gov.au/data/dataset/ballarat-community-food-activities,2026-04-17,partial
