id,name,description,category,address,suburb,state,postcode,latitude,longitude,phone,email,website,hours,eligibility,cost,source_id,source_name,source_organisation,source_jurisdiction,source_license,source_url,source_date,quality,location_precision
sa_child_family_health_0028,Fullarton,Child and family health centre,health,"Community Centre (cottage at rear), cnr Fisher Street and Fullarton Road",Fullarton,SA,5063,-34.95432,138.62148,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0029,Gawler,Child and family health centre,health,"Gawler Children?s Centre, Barnet Road",Evanston,SA,5116,-34.62278,138.72406,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0030,Glenelg,Child and family health centre,health,"St John Ambulance Centre, Williams Avenue",Glenelg East,SA,5045,-34.97712,138.51697,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0031,Goolwa,Child and family health centre,health,"Goolwa Primary School, Gardiner Street",Goolwa,SA,5214,-35.49121,138.83481,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0032,Hallett Cove,Child and family health centre,health,"R-12 School, cnr Gledsdale & Sandison Roads",Hallett Cove,SA,5158,-35.08201,138.51928,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0033,Hawker,Child and family health centre,health,"Hawker Hospital, Main Highway",Hawker,SA,5434,-31.63812,138.75799,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0034,Heathfield,Child and family health centre,health,Heathfield Primary School 201 Longwood Road,Heathfield,SA,5153,-35.09834,138.76143,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0035,Hillcrest,Child and family health centre,health,"GP Plus Super Clinic, 1 Giles Crescent,",Hillcrest,SA,5086,-34.85425,138.64344,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0036,Ingle Farm,Child and family health centre,health,"Ingle Farm Children's Centre, 2 Belalie Road",Ingle Farm,SA,5098,-34.82960,138.63895,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0037,Jamestown,Child and family health centre,health,Cnr Ayr St and Dunure Tce,Jamestown,SA,5491,-33.21714,138.59212,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
sa_child_family_health_0038,Kadina,Child and family health centre,health,"Community Health Centre, cnr Doswell and Eliza Terrace",Kadina,SA,5554,-33.92961,137.77150,,,,,,Free,sa_child_family_health,Child and Family Health Service Centre Locations,SA Health,SA,CC-BY-3.0-AU,https://data.gov.au/data/dataset/list-of-child-and-family-health-service-centre-locations,2026-04-19,partial,postcode
